Rank_x,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Rank_y,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year
501–600,Keele UniversityUnited KingdomCoursesEnquire,"9,004",15.0,19%,56 : 44,501–600,35.3–38.7,20.3,22.4,64.1,35.5,73.8,2020
501–600,King Fahd University of Petroleum and MineralsSaudi ArabiaCourses,"6,882",6.8,13%,0 : 100,501–600,35.3–38.7,27.2,15.9,51.7,64.4,78.7,2020
501–600,King Saud UniversitySaudi ArabiaCourses,"38,971",10.4,10%,59 : 41,501–600,35.3–38.7,24.6,25.8,49.6,83.4,80.3,2020
501–600,King Saud bin Abdulaziz University for Health SciencesSaudi ArabiaCourses,"11,708",6.9,1%,52 : 48,501–600,35.3–38.7,29.9,7.7,67.1,35.8,68.5,2020
501–600,Koç UniversityTurkeyCourses,"5,381",15.6,6%,51 : 49,501–600,35.3–38.7,26.9,34.4,49.2,60.2,49.7,2020
501–600,Lappeenranta-Lahti University of Technology LUTFinlandCoursesExplore,"3,851",28.2,19%,31 : 69,501–600,35.3–38.7,28.3,30.1,43.1,53.8,61.5,2020
501–600,University of LimerickIrelandCourses,"14,221",21.7,17%,48 : 52,501–600,35.3–38.7,20.1,23.5,54.6,39.2,83.7,2020
501–600,Lincoln UniversityNew ZealandCoursesEnquire,"2,476",13.5,39%,49 : 51,501–600,35.3–38.7,24.4,19.9,47.9,51.5,94.2,2020
501–600,University of LisbonPortugalCourses,"47,886",17.7,12%,52 : 48,501–600,35.3–38.7,25.2,29.8,52.7,39.2,53.8,2020
501–600,Louisiana State UniversityUnited StatesCoursesEnquire,"29,169",20.7,6%,52 : 48,501–600,35.3–38.7,34.5,26.3,55.3,35.4,35.5,2020
501–600,Marche Polytechnic UniversityItalyCourses,"10,603",20.7,4%,48 : 52,501–600,35.3–38.7,22.1,18.9,65.8,40.8,31.2,2020
501–600,Mashhad University of Medical SciencesIranCourses,"9,134",10.6,3%,60 : 40,501–600,35.3–38.7,28.1,12.3,73.0,34.5,19.9,2020
501–600,Massey UniversityNew ZealandCoursesEnquire,"18,653",16.2,31%,62 : 38,501–600,35.3–38.7,22.9,18.9,49.1,41.5,92.8,2020
501–600,Memorial University of NewfoundlandCanadaCoursesExplore,"15,127",13.7,18%,57 : 43,501–600,35.3–38.7,20.5,19.9,57.7,61.0,74.1,2020
501–600,Missouri University of Science and TechnologyUnited StatesCoursesEnquire,"8,084",22.2,14%,23 : 77,501–600,35.3–38.7,24.2,24.6,59.2,52.9,66.0,2020
501–600,National and Kapodistrian University of AthensGreeceCourses,"57,697",28.4,10%,62 : 38,501–600,35.3–38.7,21.8,15.0,72.9,55.4,52.0,2020
501–600,National Chiao Tung UniversityTaiwanCourses,"12,017",16.7,12%,30 : 70,501–600,35.3–38.7,35.8,43.3,25.6,87.0,35.9,2020
501–600,National Taiwan University of Science and Technology (Taiwan Tech)TaiwanCoursesExplore,"8,340",19.5,15%,30 : 70,501–600,35.3–38.7,29.7,41.8,39.5,62.2,40.0,2020
501–600,National Yang-Ming UniversityTaiwanCourses,"4,258",5.1,2%,48 : 52,501–600,35.3–38.7,38.7,18.8,60.0,38.1,21.5,2020
501–600,University of Nebraska Medical CenterUnited StatesCoursesEnquire,"3,041",2.3,7%,68 : 32,501–600,35.3–38.7,35.8,12.1,57.5,38.1,43.5,2020
501–600,University of NeuchâtelSwitzerlandCourses,"4,284",12.8,22%,60 : 40,501–600,35.3–38.7,23.7,29.3,48.3,37.2,90.4,2020
501–600,New Jersey Institute of TechnologyUnited StatesCoursesEnquire,"9,279",15.1,17%,25 : 75,501–600,35.3–38.7,21.3,19.2,58.2,36.7,76.8,2020
501–600,Northern Arizona UniversityUnited StatesCoursesEnquire,"29,684",28.1,5%,60 : 40,501–600,35.3–38.7,20.2,14.7,82.3,35.1,31.5,2020
501–600,North-West UniversitySouth AfricaCourses,"36,749",29.9,4%,62 : 38,501–600,35.3–38.7,20.1,17.1,69.9,41.1,43.3,2020
501–600,Norwegian University of Life SciencesNorwayCourses,"5,790",6.9,21%,59 : 41,501–600,35.3–38.7,26.5,10.5,66.2,39.9,78.4,2020
501–600,Novosibirsk State UniversityRussian FederationCourses,"7,123",6.2,20%,,501–600,35.3–38.7,42.8,31.9,30.3,35.7,43.8,2020
501–600,The Open UniversityUnited KingdomCoursesEnquire,"61,915",32.3,8%,62 : 38,501–600,35.3–38.7,18.2,16.1,66.5,34.8,57.0,2020
501–600,Open University of CataloniaSpainCourses,"22,962",84.5,2%,56 : 44,501–600,35.3–38.7,16.5,14.2,74.2,35.8,40.2,2020
501–600,Universidad Peruana Cayetano HerediaPeruCourses,"6,236",10.6,0%,66 : 34,501–600,35.3–38.7,17.0,11.3,83.1,34.7,46.4,2020
501–600,Peter the Great St Petersburg Polytechnic UniversityRussian FederationCoursesExplore,"18,251",9.0,28%,39 : 61,501–600,35.3–38.7,26.2,15.9,61.8,71.2,52.6,2020
501–600,University of PlymouthUnited KingdomCoursesEnquire,"17,667",17.2,15%,55 : 45,501–600,35.3–38.7,20.3,19.3,67.5,35.0,70.3,2020
501–600,Polytechnic University of TurinItalyCourses,"31,425",35.8,13%,28 : 72,501–600,35.3–38.7,26.2,25.4,55.3,50.8,46.5,2020
501–600,Pontifical Catholic University of ChileChileCourses,"28,541",15.0,7%,,501–600,35.3–38.7,24.2,28.3,48.6,64.5,57.1,2020
501–600,Renmin University of ChinaChinaCourses,"25,590",12.5,6%,,501–600,35.3–38.7,42.5,21.2,47.4,43.9,42.5,2020
501–600,University of Rhode IslandUnited StatesCoursesEnquire,"16,569",19.3,3%,57 : 43,501–600,35.3–38.7,23.9,17.7,66.0,34.4,35.4,2020
501–600,University of Rome II – Tor VergataItalyCourses,"34,965",19.9,11%,52 : 48,501–600,35.3–38.7,23.2,17.8,67.1,37.2,51.3,2020
501–600,University of Rome IIIItalyCourses,"31,696",50.1,5%,59 : 41,501–600,35.3–38.7,23.4,22.7,61.2,40.4,41.4,2020
501–600,Rovira i Virgili UniversitySpainCourses,"12,411",12.3,11%,59 : 41,501–600,35.3–38.7,23.7,21.0,67.6,36.6,51.1,2020
501–600,San Diego State UniversityUnited StatesCoursesEnquire,"30,799",30.5,8%,55 : 45,501–600,35.3–38.7,23.7,24.4,62.0,35.1,33.9,2020
501–600,Sharif University of TechnologyIranCourses,"9,260",19.8,2%,26 : 74,501–600,35.3–38.7,28.9,36.7,41.0,99.8,23.7,2020
501–600,Shenzhen UniversityChinaCoursesExplore,"35,171",15.5,1%,48 : 52,501–600,35.3–38.7,22.3,22.8,70.4,51.4,34.9,2020
501–600,University of SiegenGermanyCourses,"19,268",42.3,12%,50 : 50,501–600,35.3–38.7,21.3,25.3,57.1,40.2,54.4,2020
501–600,Soochow UniversityChinaCoursesExplore,"44,835",16.4,7%,54 : 46,501–600,35.3–38.7,23.4,20.8,68.2,37.5,28.3,2020
501–600,South China University of TechnologyChinaCourses,"41,139",13.9,5%,38 : 62,501–600,35.3–38.7,24.0,29.1,61.2,85.4,30.8,2020
501–600,Southeast UniversityChinaCourses,"32,951",11.6,5%,40 : 60,501–600,35.3–38.7,29.6,33.4,42.7,97.3,26.9,2020
501–600,Suez Canal UniversityEgyptCourses,"35,363",10.8,1%,58 : 42,501–600,35.3–38.7,19.9,8.7,82.6,37.9,46.0,2020
501–600,Tehran University of Medical SciencesIranCourses,"12,511",6.9,7%,58 : 42,501–600,35.3–38.7,44.5,16.0,48.0,59.3,22.8,2020
501–600,Tianjin UniversityChinaCourses,"34,780",14.0,6%,,501–600,35.3–38.7,32.7,35.7,38.8,97.9,26.5,2020
501–600,Tomsk State UniversityRussian FederationCourses,"7,655",11.9,29%,,501–600,35.3–38.7,41.0,33.7,23.4,53.0,71.6,2020
501–600,Universiti Tunku Abdul Rahman (UTAR)MalaysiaCoursesExplore,"18,763",16.1,2%,52 : 48,501–600,35.3–38.7,14.8,12.2,81.4,38.0,30.3,2020
501–600,University of UdineItalyCourses,"11,793",17.8,7%,53 : 47,501–600,35.3–38.7,26.2,16.1,68.7,38.0,41.5,2020
501–600,Victoria University of WellingtonNew ZealandCoursesEnquire,"17,442",18.9,21%,56 : 44,501–600,35.3–38.7,23.0,31.8,45.5,57.2,88.7,2020
501–600,University of WaikatoNew ZealandCoursesEnquire,"9,892",18.1,19%,58 : 42,501–600,35.3–38.7,20.8,26.3,48.8,43.4,86.2,2020
501–600,The University of the West IndiesJamaicaCoursesExplore,"23,305",22.2,1%,71 : 29,501–600,35.3–38.7,17.8,11.1,73.4,38.9,57.2,2020
501–600,University of the West of ScotlandUnited KingdomCoursesEnquire,"11,730",22.4,21%,59 : 41,501–600,35.3–38.7,13.9,13.9,76.8,35.0,74.6,2020
501–600,University of Wisconsin-MilwaukeeUnited StatesCoursesEnquire,"20,874",19.3,6%,53 : 47,501–600,35.3–38.7,21.7,22.7,66.9,36.2,33.2,2020
501–600,University of WuppertalGermanyCourses,"23,343",55.8,11%,52 : 48,501–600,35.3–38.7,25.0,17.9,60.2,44.5,51.2,2020
501–600,Xiamen UniversityChinaCourses,"40,841",14.6,4%,47 : 53,501–600,35.3–38.7,27.3,22.9,57.1,53.3,31.5,2020
501–600,Xi’an Jiaotong UniversityChinaCourses,"36,557",12.5,6%,32 : 68,501–600,35.3–38.7,35.1,30.7,41.3,61.4,39.1,2020
501–600,Yokohama City UniversityJapanCourses,"4,910",4.5,2%,56 : 44,501–600,35.3–38.7,25.9,8.5,86.2,40.3,20.3,2020
601–800,Åbo Akademi UniversityFinlandCourses,"5,295",17.5,16%,,601–800,28.3–35.2,22.6,29.2,33.1,38.5,66.9,2020
601–800,The University of AizuJapanCoursesExplore,"1,165",10.8,5%,11 : 89,601–800,28.3–35.2,20.8,12.5,41.7,36.0,68.3,2020
601–800,University of AlcaláSpainCourses,"17,793",12.9,18%,56 : 44,601–800,28.3–35.2,18.5,15.7,43.2,42.5,59.0,2020
601–800,Amedeo Avogadro University of Eastern PiedmontItalyCourses,"13,447",36.1,6%,62 : 38,601–800,28.3–35.2,14.7,18.9,66.2,35.1,41.8,2020
601–800,Amrita Vishwa VidyapeethamIndiaCourses,"14,689",11.9,12%,,601–800,28.3–35.2,26.1,17.0,47.7,82.5,46.2,2020
601–800,"University of the Andes, ColombiaColombiaCourses","15,521",13.2,2%,44 : 56,601–800,28.3–35.2,21.1,15.9,45.0,37.4,55.7,2020
601–800,Aristotle University of ThessalonikiGreeceCourses,"46,505",26.8,5%,58 : 42,601–800,28.3–35.2,19.2,16.8,64.3,41.3,41.2,2020
601–800,University of ArkansasUnited StatesCoursesEnquire,"24,754",19.8,5%,52 : 48,601–800,28.3–35.2,26.9,23.0,37.0,39.4,30.9,2020
601–800,Auburn UniversityUnited StatesCoursesEnquire,"26,641",18.8,9%,51 : 49,601–800,28.3–35.2,32.7,21.1,43.3,40.2,43.8,2020
601–800,University of AveiroPortugalCourses,"9,774",16.5,12%,51 : 49,601–800,28.3–35.2,24.7,25.5,40.7,41.4,52.5,2020
601–800,University of the Balearic IslandsSpainCourses,"11,277",12.8,7%,59 : 41,601–800,28.3–35.2,20.3,13.6,59.1,34.7,46.7,2020
601–800,Banaras Hindu UniversityIndiaCourses,"14,953",11.3,3%,10 : 90,601–800,28.3–35.2,30.8,16.4,46.7,34.6,17.7,2020
601–800,University of the Basque CountrySpainCourses,"42,485",14.8,4%,53 : 47,601–800,28.3–35.2,22.0,17.1,47.3,37.1,41.5,2020
601–800,Baylor UniversityUnited StatesCoursesEnquire,"17,078",16.2,6%,57 : 43,601–800,28.3–35.2,32.1,18.2,53.9,35.3,33.2,2020
601–800,Beijing Institute of TechnologyChinaCourses,"30,608",13.3,8%,35 : 65,601–800,28.3–35.2,30.6,32.1,32.7,98.1,24.3,2020
601–800,University of Beira InteriorPortugalCourses,"7,022",15.7,14%,52 : 48,601–800,28.3–35.2,17.9,16.5,48.7,34.7,52.7,2020
601–800,Beni-Suef UniversityEgyptCourses,"67,981",25.3,1%,46 : 54,601–800,28.3–35.2,14.7,7.4,60.8,34.4,45.9,2020
601–800,University of BergamoItalyCourses,"19,022",57.0,7%,61 : 39,601–800,28.3–35.2,19.5,21.0,59.3,40.9,36.6,2020
601–800,Boğaziçi UniversityTurkeyCourses,"13,202",23.2,3%,46 : 54,601–800,28.3–35.2,23.2,21.2,49.4,50.8,41.8,2020
601–800,University of BrightonUnited KingdomCoursesEnquire,"17,155",18.0,21%,59 : 41,601–800,28.3–35.2,17.1,14.2,43.4,35.1,75.6,2020
601–800,Ca’ Foscari University of VeniceItalyCourses,"15,636",27.7,10%,65 : 35,601–800,28.3–35.2,25.1,25.7,36.5,37.1,53.9,2020
601–800,Cairo UniversityEgyptCourses,"223,275",40.6,2%,48 : 52,601–800,28.3–35.2,21.8,13.7,51.5,35.4,35.3,2020
601–800,University of CalabriaItalyCourses,"27,403",33.0,2%,57 : 43,601–800,28.3–35.2,17.6,17.5,59.8,87.9,38.3,2020
601–800,University of Central FloridaUnited StatesCoursesEnquire,"56,228",35.3,4%,56 : 44,601–800,28.3–35.2,26.5,28.7,49.7,42.6,32.9,2020
601–800,Central Queensland UniversityAustraliaCoursesExplore,"14,701",20.8,31%,55 : 45,601–800,28.3–35.2,16.9,12.9,50.2,36.4,60.4,2020
601–800,Chemnitz University of TechnologyGermanyCourses,"10,473",45.7,24%,43 : 57,601–800,28.3–35.2,33.0,26.5,26.8,67.8,53.6,2020
601–800,China Agricultural UniversityChinaCourses,"19,586",11.6,1%,58 : 42,601–800,28.3–35.2,34.9,26.2,40.7,52.2,22.0,2020
601–800,"China University of Petroleum, BeijingChinaCourses","15,150",18.7,4%,,601–800,28.3–35.2,24.0,26.1,39.2,88.0,21.7,2020
601–800,Clemson UniversityUnited StatesCoursesEnquire,"21,436",17.0,7%,47 : 53,601–800,28.3–35.2,25.0,21.2,43.0,40.1,39.2,2020
601–800,University of Clermont AuvergneFranceCourses,"34,644",18.8,13%,56 : 44,601–800,28.3–35.2,19.2,10.0,57.0,38.0,61.8,2020
601–800,University of CoimbraPortugalCourses,"21,404",17.6,19%,57 : 43,601–800,28.3–35.2,23.7,28.1,47.4,41.0,58.7,2020
601–800,COMSATS University IslamabadPakistanCourses,"33,030",11.4,1%,28 : 72,601–800,28.3–35.2,16.9,9.9,65.5,34.5,45.7,2020
601–800,Concordia UniversityCanadaCoursesEnquire,"33,543",32.3,29%,50 : 50,601–800,28.3–35.2,20.9,25.9,46.0,36.9,82.5,2020
601–800,University of Costa RicaCosta RicaCourses,"33,900",15.1,2%,53 : 47,601–800,28.3–35.2,16.2,7.9,77.1,34.4,48.2,2020
601–800,Coventry UniversityUnited KingdomCoursesExplore,"27,531",16.4,46%,47 : 53,601–800,28.3–35.2,17.4,12.7,44.1,34.7,89.3,2020
601–800,Creighton UniversityUnited StatesCoursesEnquire,"8,228",11.1,8%,58 : 42,601–800,28.3–35.2,42.0,11.6,41.5,35.7,29.8,2020
601–800,Dalian University of TechnologyChinaCourses,"39,665",15.7,3%,35 : 65,601–800,28.3–35.2,24.6,23.7,40.2,77.1,28.5,2020
601–800,University of DelhiIndiaCourses,"24,547",23.0,1%,47 : 53,601–800,28.3–35.2,37.6,17.8,42.8,34.5,17.3,2020
601–800,De Montfort UniversityUnited KingdomCoursesEnquire,"19,093",19.5,27%,56 : 44,601–800,28.3–35.2,16.9,13.8,50.4,34.6,75.6,2020
601–800,Dublin City UniversityIrelandCourses,"12,619",24.0,10%,57 : 43,601–800,28.3–35.2,21.0,25.2,49.7,42.8,71.8,2020
601–800,East China University of Science and TechnologyChinaCourses,"25,519",15.6,2%,43 : 57,601–800,28.3–35.2,22.0,19.1,44.0,56.1,17.9,2020
601–800,École Centrale de LyonFranceCourses,"1,998",16.1,24%,25 : 75,601–800,28.3–35.2,31.1,20.2,23.6,59.7,67.2,2020
601–800,École normale supérieure Paris-SaclayFranceCourses,"1,869",12.6,14%,30 : 70,601–800,28.3–35.2,36.5,29.6,27.7,51.1,55.3,2020
601–800,University of Electronic Science and Technology of ChinaChinaCoursesExplore,"33,242",16.4,4%,31 : 69,601–800,28.3–35.2,23.5,22.2,55.1,71.8,28.8,2020
601–800,Eötvös Loránd UniversityHungaryCoursesExplore,"26,105",16.7,9%,65 : 35,601–800,28.3–35.2,21.4,17.7,48.2,35.1,52.6,2020
601–800,Ewha Womans UniversitySouth KoreaCourses,"14,510",16.9,15%,100 : 0,601–800,28.3–35.2,29.9,30.8,31.4,69.9,46.7,2020
601–800,Federal University of Minas GeraisBrazilCourses,"43,899",12.6,2%,53 : 47,601–800,28.3–35.2,30.2,17.9,52.0,38.8,29.6,2020
601–800,Universidade Federal do Rio Grande do SulBrazilCourses,"52,579",19.4,1%,52 : 48,601–800,28.3–35.2,29.6,18.3,49.3,46.5,26.3,2020
601–800,Universidade Federal de Santa CatarinaBrazilCourses,"38,719",16.6,2%,49 : 51,601–800,28.3–35.2,28.4,13.1,52.6,38.7,29.4,2020
601–800,Universidade Federal de São Paulo (UNIFESP)BrazilCourses,"14,572",9.3,1%,59 : 41,601–800,28.3–35.2,32.6,17.8,43.3,35.7,28.6,2020
601–800,Ferhat Abbas Sétif University 1AlgeriaCourses,"34,002",22.7,1%,65 : 35,601–800,28.3–35.2,17.7,7.7,73.0,34.4,41.8,2020
601–800,University of GironaSpainCourses,"13,906",19.0,14%,58 : 42,601–800,28.3–35.2,18.9,18.2,57.6,37.4,53.9,2020
601–800,Glasgow Caledonian UniversityUnited KingdomCoursesEnquire,"12,637",19.9,17%,59 : 41,601–800,28.3–35.2,15.7,12.2,56.2,35.2,61.1,2020
601–800,University of GranadaSpainCoursesVerify Documents,"56,044",15.4,10%,59 : 41,601–800,28.3–35.2,19.4,20.9,52.0,35.6,48.1,2020
601–800,University of GreenwichUnited KingdomCoursesEnquire,"14,477",18.0,36%,58 : 42,601–800,28.3–35.2,17.1,15.2,39.5,35.4,89.4,2020
601–800,University of HertfordshireUnited KingdomCoursesEnquire,"17,584",17.5,28%,56 : 44,601–800,28.3–35.2,17.5,13.0,42.7,35.3,80.1,2020
601–800,Hiroshima UniversityJapanCourses,"15,077",9.0,10%,36 : 64,601–800,28.3–35.2,28.9,22.4,31.5,49.9,33.7,2020
601–800,Huazhong Agricultural UniversityChinaCourses,"25,956",17.4,2%,54 : 46,601–800,28.3–35.2,21.8,15.1,49.7,43.1,22.5,2020
601–800,University of HuddersfieldUnited KingdomCoursesEnquire,"14,483",20.7,24%,55 : 45,601–800,28.3–35.2,22.8,20.0,44.8,36.6,72.0,2020
601–800,IDC HerzliyaIsraelCourses,"6,908",47.0,24%,52 : 48,601–800,28.3–35.2,14.1,10.1,62.6,34.4,63.2,2020
601–800,Imam Khomeini International UniversityIranCourses,"8,330",28.6,7%,55 : 45,601–800,28.3–35.2,12.3,8.5,78.0,34.7,20.7,2020
601–800,"Indian Institute of Science Education and Research, PuneIndiaCourses","1,274",9.5,0%,32 : 68,601–800,28.3–35.2,31.7,19.5,54.1,35.1,21.5,2020
601–800,Indian Institute of Technology BhubaneswarIndiaCourses,"1,237",10.7,0%,15 : 85,601–800,28.3–35.2,27.0,11.3,52.9,35.8,17.1,2020
601–800,Indian Institute of Technology GuwahatiIndiaCourses,"5,699",13.5,1%,17 : 83,601–800,28.3–35.2,33.7,22.0,37.2,41.0,15.3,2020
601–800,Indian Institute of Technology HyderabadIndiaCourses,"2,088",11.9,0%,20 : 80,601–800,28.3–35.2,25.3,18.0,52.4,39.4,17.7,2020
601–800,Indian Institute of Technology KanpurIndiaCourses,"6,860",13.6,0%,14 : 86,601–800,28.3–35.2,37.8,24.5,35.2,94.3,18.8,2020
601–800,Indian Institute of Technology MadrasIndiaCourses,"9,241",15.6,1%,20 : 80,601–800,28.3–35.2,44.9,30.6,25.4,80.0,19.3,2020
601–800,University of IndonesiaIndonesiaCourses,"41,170",9.9,11%,65 : 35,601–800,28.3–35.2,38.7,19.2,16.7,81.6,53.7,2020
601–800,University of International Business and EconomicsChinaCourses,"15,775",17.4,18%,66 : 34,601–800,28.3–35.2,25.3,16.1,35.2,35.7,61.5,2020
601–800,University of IoanninaGreeceCourses,"21,902",44.3,3%,47 : 53,601–800,28.3–35.2,16.5,14.7,60.2,37.3,43.4,2020
601–800,Iran University of Medical SciencesIranCourses,"8,673",9.0,3%,59 : 41,601–800,28.3–35.2,37.7,10.0,52.6,43.4,20.7,2020
601–800,Iran University of Science and TechnologyIranCourses,"13,273",31.7,1%,31 : 69,601–800,28.3–35.2,27.8,33.0,42.6,96.3,16.8,2020
601–800,ISCTE-University Institute of LisbonPortugalCourses,"8,898",24.2,12%,50 : 50,601–800,28.3–35.2,23.0,26.4,29.3,39.8,49.3,2020
601–800,Isfahan University of TechnologyIranCourses,"10,064",20.7,1%,44 : 56,601–800,28.3–35.2,25.4,23.4,41.7,85.5,22.6,2020
601–800,Istanbul Technical UniversityTurkeyCourses,"34,825",23.0,4%,34 : 66,601–800,28.3–35.2,25.2,28.0,30.2,100.0,26.8,2020
601–800,Jagiellonian UniversityPolandCourses,"40,608",10.9,9%,68 : 32,601–800,28.3–35.2,25.5,17.0,61.4,35.3,37.7,2020
601–800,Jamia Millia IslamiaIndiaCourses,"10,653",9.7,3%,40 : 60,601–800,28.3–35.2,29.4,8.7,47.6,35.2,24.9,2020
601–800,Jaume I UniversitySpainCourses,"12,182",15.6,9%,58 : 42,601–800,28.3–35.2,22.5,16.3,49.6,37.5,43.5,2020
601–800,Jawaharlal Nehru UniversityIndiaCourses,"7,938",13.9,4%,52 : 48,601–800,28.3–35.2,43.9,17.3,26.6,43.0,19.3,2020
601–800,Jiangsu Normal UniversityChinaCourses,"21,455",14.3,2%,,601–800,28.3–35.2,15.1,11.0,60.7,39.7,23.2,2020
601–800,Jikei University School of MedicineJapanCourses,"1,078",0.9,1%,47 : 53,601–800,28.3–35.2,28.4,8.6,51.4,38.3,15.9,2020
601–800,University of JohannesburgSouth AfricaCoursesExplore,"26,445",23.9,15%,55 : 45,601–800,28.3–35.2,19.7,25.8,42.5,40.4,69.2,2020
601–800,Johannes Kepler University of LinzAustriaCourses,"6,122",10.5,11%,51 : 49,601–800,28.3–35.2,28.1,19.7,46.8,54.1,64.4,2020
601–800,Kafrelsheikh UniversityEgyptCourses,"74,546",39.7,1%,51 : 49,601–800,28.3–35.2,13.0,7.9,67.4,38.0,47.1,2020
601–800,University of KaiserslauternGermanyCoursesVerify Documents,"14,869",51.6,18%,39 : 61,601–800,28.3–35.2,33.6,24.1,41.3,64.5,52.3,2020
601–800,Kansas State UniversityUnited StatesCoursesEnquire,"21,536",14.3,9%,50 : 50,601–800,28.3–35.2,25.0,20.4,45.8,41.9,47.2,2020
601–800,Kazan Federal UniversityRussian FederationCourses,"26,670",10.8,13%,66 : 34,601–800,28.3–35.2,28.7,16.9,47.8,40.0,42.6,2020
601–800,Universiti Kebangsaan MalaysiaMalaysiaCourses,"17,180",10.1,15%,61 : 39,601–800,28.3–35.2,34.2,19.6,32.3,37.1,52.9,2020
601–800,Keio UniversityJapanCourses,"34,916",10.4,8%,36 : 64,601–800,28.3–35.2,32.1,25.7,36.8,42.7,31.5,2020
601–800,Kent State UniversityUnited StatesCoursesEnquire,"24,559",20.4,9%,60 : 40,601–800,28.3–35.2,23.6,19.0,55.6,34.8,42.6,2020
601–800,Kindai UniversityJapanCourses,"33,125",13.6,2%,30 : 70,601–800,28.3–35.2,20.1,11.4,58.4,38.8,23.0,2020
601–800,King Khalid UniversitySaudi ArabiaCourses,"38,865",8.1,11%,53 : 47,601–800,28.3–35.2,21.6,7.1,53.6,34.5,82.7,2020
601–800,Kobe UniversityJapanCourses,"15,593",9.5,7%,35 : 65,601–800,28.3–35.2,32.4,22.8,31.1,44.3,28.7,2020
601–800,Konkuk UniversitySouth KoreaCourses,"12,225",23.2,16%,70 : 30,601–800,28.3–35.2,33.0,37.9,27.5,44.3,47.7,2020
601–800,Kurume UniversityJapanCourses,"4,850",7.3,2%,39 : 61,601–800,28.3–35.2,21.5,10.1,54.5,36.5,21.0,2020
601–800,Lakehead UniversityCanadaCoursesExplore,"8,050",24.5,13%,56 : 44,601–800,28.3–35.2,17.6,19.5,46.9,37.3,49.4,2020
601–800,University of La LagunaSpainCourses,"18,336",12.9,4%,58 : 42,601–800,28.3–35.2,19.3,11.5,67.8,35.2,46.9,2020
601–800,Lehigh UniversityUnited StatesCoursesEnquireAdmissions Support,"6,462",10.8,17%,44 : 56,601–800,28.3–35.2,27.4,20.8,51.0,40.3,45.1,2020
601–800,University of LeobenAustriaCourses,"3,074",5.9,15%,26 : 74,601–800,28.3–35.2,28.1,11.2,35.6,56.2,70.2,2020
601–800,University of LilleFranceCourses,"69,287",29.0,13%,58 : 42,601–800,28.3–35.2,20.3,17.3,53.0,39.0,60.7,2020
601–800,University of LincolnUnited KingdomCourses,"12,060",15.1,13%,56 : 44,601–800,28.3–35.2,16.5,14.1,64.3,35.3,71.2,2020
