Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year,Country
664,Universidade Federal de São Paulo ( U N I F E S P) Brazil,"12,525",8.4,1%,62:38:00,18.6—27.5,37.5,19.1,26.8,32.1,22.3,2017,Brazil
665,Feng Chia University Taiwan,"20,848",24.6,9%,37 : 63,18.6—27.5,14.8,15.6,36,38,26,2017,Taiwan
666,Florida Institute of Technology United States,"4,715",14,30%,33 : 67,18.6—27.5,25.5,13.4,28.8,36.6,60.6,2017,United States
667,University of La Frontera Chile,"9,731",24.9,1%,44:56:00,18.6—27.5,14.3,10.2,22.8,53,40.9,2017,Chile
668,University of Ghana Ghana,"37,804",31.7,2%,44:56:00,18.6—27.5,16.1,24.7,19.5,34.8,49.5,2017,Ghana
669,Glasgow Caledonian University United Kingdom,"13,733",21.8,18%,59:41:00,18.6—27.5,18,10.7,38.8,33.2,59.3,2017,United Kingdom
670,University of Greenwich United Kingdom,"15,209",19.6,34%,54:46:00,18.6—27.5,15.4,11.2,35.9,33.4,82.9,2017,United Kingdom
671,Hacettepe University Turkey,"38,109",18.2,5%,57:43:00,18.6—27.5,20.3,10.5,36.5,32.6,21.9,2017,Turkey
672,University of Haifa Israel,"17,871",30.1,1%,65:35:00,18.6—27.5,22.2,24.7,27.7,33.7,35.3,2017,Israel
673,Hofstra University United States,"9,920",14.2,10%,55:45:00,18.6—27.5,35.8,4.8,18.9,32.1,26.6,2017,United States
674,University of Huddersfield United Kingdom,"15,033",18.1,26%,55:45:00,18.6—27.5,18.3,12.6,24.5,32.9,63.6,2017,United Kingdom
675,Hunan University China,"43,684",24.5,2%,45:55:00,18.6—27.5,17,17,34.8,45.2,16.2,2017,China
676,I S C T E- University Institute of Lisbon Portugal,"8,926",26.7,11%,50:50:00,18.6—27.5,24.8,23.2,15.2,36.9,45.2,2017,Portugal
677,Indian Institute of Technology Guwahati India,"4,959",13.3,1%,0.684027778,18.6—27.5,26.6,16.6,42.1,35.4,14.6,2017,India
678,Inha University South Korea,"20,190",24,3%,37 : 63,18.6—27.5,21.3,19.8,23.3,59.9,25.2,2017,South Korea
679,Isfahan University of Technology Iran,"9,182",19.5,1%,40 : 60,18.6—27.5,19.5,20,38.4,89.8,18.9,2017,Iran
680,Istanbul University Turkey,"90,614",43.8,6%,49:51:00,18.6—27.5,22.5,23.6,11.8,52.4,22.2,2017,Turkey
681,Jagiellonian University Poland,"41,788",11.8,6%,68:32:00,18.6—27.5,23.8,14.7,38.1,33.6,34.6,2017,Poland
682,University of Jaén Spain,"16,665",20.1,3%,54:46:00,18.6—27.5,13.7,10.9,50.1,34.2,25.9,2017,Spain
683,Jikei University School of Medicine Japan,"1,053",2.4,0%,44:56:00,18.6—27.5,32.4,10.9,15.2,35.3,13.9,2017,Japan
684,Jilin University China,"66,668",13.8,3%,46:54:00,18.6—27.5,28.1,15.9,20.5,42.2,25.2,2017,China
685,University of Johannesburg South Africa,"38,156",31.5,4%,55:45:00,18.6—27.5,16.7,18.4,23.5,37.4,43.2,2017,South Africa
686,Jordan University of Science and Technology Jordan,"24,889",21.5,20%,56:44:00,18.6—27.5,10.4,7.6,50.2,33.2,62.4,2017,Jordan
687,Juntendo University Japan,"4,054",3.7,1%,51:49:00,18.6—27.5,34.5,11.3,23.5,49.1,18.3,2017,Japan
688,K. N. Toosi University of Technology Iran,"7,050",17.4,0%,32 : 68,18.6—27.5,18.9,13.2,28,43,14.3,2017,Iran
689,Kanazawa University Japan,"10,500",10.3,5%,36 : 64,18.6—27.5,27.5,16,36.6,34.2,20.3,2017,Japan
690,Kaohsiung Medical University Taiwan,"6,981",12,5%,56:44:00,18.6—27.5,20.5,18.5,25.4,35.2,22.1,2017,Taiwan
691,Universiti Kebangsaan Malaysia Malaysia,"20,427",11.8,10%,66:34:00,18.6—27.5,30.6,18.6,11.1,34,33.8,2017,Malaysia
692,Keio University Japan,"34,594",11,6%,34 : 66,18.6—27.5,30.3,20.7,30.5,40.9,25.9,2017,Japan
693,University Rey Juan Carlos Spain,"33,335",26.6,10%,57:43:00,18.6—27.5,14.8,9.5,35.3,35,39.2,2017,Spain
694,King Mongkut’s University of Technology Thonburi Thailand,"16,801",22.8,1%,57:43:00,18.6—27.5,16.6,11.4,42.1,80.3,28.8,2017,Thailand
695,Kingston University United Kingdom,"18,254",21.7,35%,55:45:00,18.6—27.5,16.6,14.2,27.5,32.7,79.7,2017,United Kingdom
696,Kindai University Japan,"32,010",12.4,2%,29 : 71,18.6—27.5,18.8,8.3,33,35.6,17.9,2017,Japan
697,Kobe University Japan,"15,779",8.1,6%,34 : 66,18.6—27.5,29.3,19.2,25.3,41.5,22.7,2017,Japan
698,Kochi University Japan,"5,608",9.1,1%,46:54:00,18.6—27.5,20,9.4,42.7,39.6,25.9,2017,Japan
699,Konkuk University South Korea,"26,890",31.5,6%,48:52:00,18.6—27.5,23.8,24.5,20.2,36.7,24,2017,South Korea
700,Kumamoto University Japan,"10,221",7.5,5%,37 : 63,18.6—27.5,25.8,12.3,31.3,43.4,24.3,2017,Japan
701,Kuwait University Kuwait,"37,365",23.7,13%,70:30:00,18.6—27.5,18.1,8.9,28.3,37.1,69.4,2017,Kuwait
702,Kyungpook National University South Korea,"27,191",18.2,4%,42:58:00,18.6—27.5,19.2,17.9,21.4,39.6,23.4,2017,South Korea
703,University of La Laguna Spain,"21,497",14.6,6%,58:42:00,18.6—27.5,16.9,9.6,48.5,32.7,47.1,2017,Spain
704,Leeds Beckett University United Kingdom,"19,910",20.8,12%,50:50:00,18.6—27.5,15.7,10.8,28.4,32.6,41.5,2017,United Kingdom
705,University of Lincoln United Kingdom,"10,999",18.3,15%,56:44:00,18.6—27.5,15.8,12.1,22.6,33.3,61.2,2017,United Kingdom
706,University of Ljubljana Slovenia,"45,607",16.8,4%,60:40:00,18.6—27.5,24,14.7,27.3,35.4,35.8,2017,Slovenia
707,London Metropolitan University United Kingdom,"12,475",22.4,36%,61:39:00,18.6—27.5,16.1,11.5,19.4,32.6,82,2017,United Kingdom
708,Manchester Metropolitan University United Kingdom,"27,326",17.5,14%,57:43:00,18.6—27.5,18.2,11.4,32.8,32.3,57.2,2017,United Kingdom
709,Masaryk University Czech Republic,"38,249",24.6,19%,62:38:00,18.6—27.5,20.8,18.1,34.3,33.5,54.3,2017,Czech Republic
710,Miami University United States,"16,659",22.3,8%,53:47:00,18.6—27.5,21.3,18.5,40.1,34.2,28,2017,United States
711,Middle East Technical University Turkey,"26,355",23.3,7%,44:56:00,18.6—27.5,27.3,19.5,31.4,58.8,27.8,2017,Turkey
712,University of Murcia Spain,"30,192",15.4,5%,61:39:00,18.6—27.5,18.4,12.7,31,33.5,32,2017,Spain
713,Nagasaki University Japan,"9,172",7.1,4%,37 : 63,18.6—27.5,25.1,10.8,17.9,35,23.7,2017,Japan
714,Nagoya City University Japan,"4,313",8,2%,52:48:00,18.6—27.5,26.1,12.2,31.2,41.5,18.4,2017,Japan
715,Nagoya Institute of Technology Japan,"5,763",16.8,4%,0.602083333,18.6—27.5,19.1,18.7,18.5,48,19.7,2017,Japan
716,Nanjing Agricultural University China,"25,828",16.3,1%,,18.6—27.5,22.8,15.2,38.6,42.9,16.4,2017,China
717,Nanjing Medical University China,"12,013",9,4%,,18.6—27.5,27.2,22.9,33,33.2,18.2,2017,China
718,Nanjing Normal University China,"26,588",14.7,3%,68:32:00,18.6—27.5,17.9,9,33.8,46.9,15.7,2017,China
719,National Central University Taiwan,"10,826",9.6,7%,34 : 66,18.6—27.5,26.6,23.6,21.3,65.8,28.4,2017,Taiwan
720,National Chung Cheng University Taiwan,"10,129",19.4,4%,44:56:00,18.6—27.5,19.6,21.6,17.5,39.7,18.5,2017,Taiwan
721,National Chung Hsing University Taiwan,"15,729",19.2,4%,39 : 61,18.6—27.5,18.8,15.4,25.5,42.1,18.5,2017,Taiwan
722,National University of Sciences and Technology Pakistan,"10,227",8,3%,33 : 67,18.6—27.5,19.9,8.1,36.2,32.6,35.2,2017,Pakistan
723,National Sun Yat- Sen University Taiwan,"9,344",17.2,5%,37 : 63,18.6—27.5,23.8,27.2,28.9,44.5,26.4,2017,Taiwan
724,National Taiwan Ocean University Taiwan,"8,371",21,5%,30 : 70,18.6—27.5,16.3,18.7,23,51.3,21.1,2017,Taiwan
725,National Institute of Technology Rourkela India,"5,675",19.2,3%,0.970833333,18.6—27.5,21.5,8.6,31.7,32.7,14,2017,India
726,Niigata University Japan,"12,479",8.5,4%,38 : 62,18.6—27.5,23.7,10.6,19.1,36.1,22.2,2017,Japan
727,University of North Carolina at Greensboro United States,"18,497",22.1,3%,66:34:00,18.6—27.5,19.3,15.5,41.6,33.2,19.4,2017,United States
728,Northeast Normal University China,"23,287",15,2%,,18.6—27.5,19,5.1,54.2,34,15,2017,China
729,Northeastern University China,"31,278",15.4,4%,,18.6—27.5,21,22,7.8,98.6,24.8,2017,China
730,Northumbria University United Kingdom,"22,445",18.3,16%,55:45:00,18.6—27.5,17.6,13.2,38.4,33,61.2,2017,United Kingdom
731,Northwestern Polytechnical University China,"26,345",15.5,3%,25 : 75,18.6—27.5,26.3,27.2,8.4,78.3,16.4,2017,China
732,Nottingham Trent University United Kingdom,"21,932",17,18%,55:45:00,18.6—27.5,16.1,10.6,32.2,32.3,55.3,2017,United Kingdom
733,Oakland University United States,"15,083",20.4,2%,59:41:00,18.6—27.5,17.4,11.8,24.5,33.5,24.5,2017,United States
734,Ohio University ( Main campus) United States,"30,341",20.9,6%,57:43:00,18.6—27.5,24.9,14.2,28.5,34.2,29.5,2017,United States
735,Okayama University Japan,"13,186",8.2,4%,38 : 62,18.6—27.5,26.1,14.6,26.4,44,21.9,2017,Japan
736,Osaka City University Japan,"8,493",9.8,4%,36 : 64,18.6—27.5,28.5,13.4,33.6,40.2,21.8,2017,Japan
737,University of Oviedo Spain,"24,845",14.5,2%,54:46:00,18.6—27.5,18.3,12.4,44.2,33.4,30.5,2017,Spain
738,Palacký University Olomouc Czech Republic,"18,482",11.1,9%,69:31:00,18.6—27.5,19,12.6,40.8,32.9,52.2,2017,Czech Republic
739,Panjab University India,"15,778",22.3,1%,48:52:00,18.6—27.5,23.8,9.2,46.2,32.3,15.2,2017,India
740,University of Patras Greece,"24,477",32.9,6%,51:49:00,18.6—27.5,15.3,11.4,35.9,43.6,34.6,2017,Greece
741,Peter the Great St Petersburg Polytechnic University Russian Federation,"15,759",6,15%,43:57:00,18.6—27.5,30.9,15.9,17.1,48.8,40.1,2017,Russian Federation
742,Pontifical Catholic University of Rio Grande do Sul ( P U C R S) Brazil,"21,471",21.1,1%,47:53:00,18.6—27.5,20.3,11.8,28.7,46.2,23.1,2017,Brazil
743,Pontifical Catholic University of Rio de Janeiro ( P U C- Rio) Brazil,"15,047",21.9,3%,51:49:00,18.6—27.5,27.3,23.9,20.6,100,35.2,2017,Brazil
744,University of Pretoria South Africa,"34,447",23.3,8%,57:43:00,18.6—27.5,22.7,24.1,25.6,63.2,47.1,2017,South Africa
745,Universiti Putra Malaysia Malaysia,"24,161",12,17%,73:27:00,18.6—27.5,26.9,24.3,14.4,36.3,59.6,2017,Malaysia
746,University of Pécs Hungary,"18,109",14.6,13%,54:46:00,18.6—27.5,20,9.1,33.1,38.2,55.9,2017,Hungary
747,Quaid-i- Azam University Pakistan,"13,126",26,0%,52:48:00,18.6—27.5,18.2,0.8,56.9,32.1,39.9,2017,Pakistan
748,Rochester Institute of Technology United States,"13,518",14.1,16%,34 : 66,18.6—27.5,19.8,16.2,30.9,33.7,33.8,2017,United States
749,University of Roehampton United Kingdom,"7,457",18.3,23%,73:27:00,18.6—27.5,16.6,17.4,18.3,32.2,66.5,2017,United Kingdom
750,Universiti Sains Malaysia Malaysia,"28,592",14.7,8%,62:38:00,18.6—27.5,33.1,16,13.1,37.9,44.2,2017,Malaysia
751,University of Salamanca Spain,"32,517",19.1,12%,60:40:00,18.6—27.5,23.3,14.4,32.2,35.2,44.5,2017,Spain
752,University of Salford United Kingdom,"15,610",16.9,22%,51:49:00,18.6—27.5,19.6,14.4,23.7,32.7,64.9,2017,United Kingdom
753,University of Santiago de Compostela Spain,"28,259",15.9,9%,63:37:00,18.6—27.5,19.8,14.9,40.9,35.7,42.4,2017,Spain
754,Savitribai Phule Pune University India,"5,493",14.7,4%,33 : 67,18.6—27.5,38.7,11.4,14.8,33,18.6,2017,India
755,University of Science and Technology Beijing China,"24,136",15.8,4%,35 : 65,18.6—27.5,26.8,22.4,10.8,63.3,16.3,2017,China
756,University of Seville Spain,"62,090",17,6%,54:46:00,18.6—27.5,19.5,13.9,33.1,37.9,34.4,2017,Spain
757,Shantou University China,"9,805",13.8,0%,49:51:00,18.6—27.5,17.5,10.2,33.3,35.1,32.4,2017,China
758,Shinshu University Japan,"11,026",10.4,2%,32 : 68,18.6—27.5,22.3,11.4,26.2,37.3,21.1,2017,Japan
759,Shiraz University Iran,"13,686",21.5,1%,52:48:00,18.6—27.5,19.1,19.4,17.7,54.7,15.2,2017,Iran
760,Sichuan University China,"61,533",14.1,4%,49:51:00,18.6—27.5,26.1,21.2,20.1,76.3,18.3,2017,China
761,Sohag University Egypt,"36,460",24.4,0%,76:24:00,18.6—27.5,21.6,1.8,30.9,32.1,43.4,2017,Egypt
762,South China University of Technology China,"41,868",17,3%,34 : 66,18.6—27.5,20.3,19.4,39.5,67.9,18.6,2017,China
763,University of Southern Queensland Australia,"14,388",27.9,20%,55:45:00,18.6—27.5,21.8,14.6,20.7,32.7,67.7,2017,Australia
764,Sri Venkateswara University India,"6,880",15.5,0%,25 : 75,18.6—27.5,34.3,11.5,11.2,32.8,15.5,2017,India
765,Suez Canal University Egypt,"34,490",12.3,2%,61:39:00,18.6—27.5,16.6,22.5,18.7,32.1,44.9,2017,Egypt
766,Sultan Qaboos University Oman,"7,634",8.5,3%,50:50:00,18.6—27.5,23.2,9.6,17,40.9,70.3,2017,Oman
767,Suranaree University of Technology Thailand,"10,548",26.8,1%,53:47:00,18.6—27.5,20.6,10.9,22.4,33.6,31.5,2017,Thailand
768,University of Szeged Hungary,"21,420",13.1,11%,58:42:00,18.6—27.5,20.6,11,30,36.1,50.8,2017,Hungary
769,Universidade Estadual Paulista ( Unesp) Brazil,"53,884",14.1,2%,51:49:00,18.6—27.5,29.5,18.8,9.2,34.5,18.8,2017,Brazil
770,T O B B University of Economics and Technology Turkey,"4,506",17.6,1%,42:58:00,18.6—27.5,13.6,10.6,28.3,32.4,30.1,2017,Turkey
771,Taipei Medical University Taiwan,"6,102",10.4,6%,57:43:00,18.6—27.5,26.4,21.1,27.3,97.9,28.4,2017,Taiwan
772,Tallinn University of Technology Estonia,"13,050",24.5,6%,45:55:00,18.6—27.5,14.7,11.4,44.7,44.7,42.5,2017,Estonia
773,Tata Institute of Fundamental Research India,579,2.2,1%,33 : 67,18.6—27.5,24.4,10,45.1,32.1,37.2,2017,India
774,Technical University of Madrid Spain,"40,523",13.3,12%,32 : 68,18.6—27.5,21.9,13.7,30.8,39.1,41.9,2017,Spain
775,Teesside University United Kingdom,"11,376",18.5,11%,57:43:00,18.6—27.5,15.8,8.8,34.4,32.4,44.4,2017,United Kingdom
776,University of Tehran Iran,"54,000",27,1%,45:55:00,18.6—27.5,27.8,12.6,22.1,32.1,19.1,2017,Iran
777,Tehran University of Medical Sciences Iran,"13,388",8.1,2%,60:40:00,18.6—27.5,50.2,14.2,14.1,33.6,15.5,2017,Iran
778,Universiti Teknologi Malaysia Malaysia,"21,992",11.9,19%,49:51:00,18.6—27.5,26.8,15.7,27.1,33.1,54.8,2017,Malaysia
779,Texas Tech University United States,"30,145",20.2,7%,45:55:00,18.6—27.5,27.7,16.6,25.4,33.6,41.1,2017,United States
780,University of Texas at El Paso United States,"16,389",24.3,7%,53:47:00,18.6—27.5,20.7,20.9,20.9,32.1,33,2017,United States
781,Tezpur University India,"3,300",13.6,0%,42:58:00,18.6—27.5,22.4,14.2,39.8,32.2,12.3,2017,India
782,Tokushima University Japan,"7,550",9,3%,34 : 66,18.6—27.5,27.4,17.9,14.2,54.3,18.5,2017,Japan
783,Tokyo University of Agriculture and Technology Japan,"5,802",14.8,5%,27 : 73,18.6—27.5,26.4,22.9,20.8,44.6,20.9,2017,Japan
784,Tokyo University of Science Japan,"19,911",25.2,1%,0.888888889,18.6—27.5,21.1,23.7,22.5,37.8,16.8,2017,Japan
785,Toyohashi University of Technology ( T U T) Japan,"2,331",9.9,8%,0.479166667,18.6—27.5,22.3,17.2,16.8,47.7,24.7,2017,Japan
786,Universiti Teknologi Petronas Malaysia,"5,466",14.1,27%,36 : 64,18.6—27.5,25.1,17,10.3,65.5,64.4,2017,Malaysia
787,University of Vigo Spain,"20,834",17.2,4%,50:50:00,18.6—27.5,15.5,11.7,33.2,37,36.5,2017,Spain
788,Vilnius University Lithuania,"18,442",11.9,4%,64:36:00,18.6—27.5,19.2,12.7,35,40.2,40.4,2017,Lithuania
789,Waseda University Japan,"51,809",16.6,8%,35 : 65,18.6—27.5,25.9,20,30.1,35.6,32.4,2017,Japan
790,University of the West of England United Kingdom,"20,754",19.3,17%,53:47:00,18.6—27.5,15.6,13.4,38.3,32.9,53.3,2017,United Kingdom
791,University of the West of Scotland United Kingdom,"11,593",20.7,11%,60:40:00,18.6—27.5,14,10.3,40,32.3,56.7,2017,United Kingdom
792,West University of Timişoara Romania,"13,555",18.3,4%,65:35:00,18.6—27.5,18.1,7.9,29.2,32.1,29.8,2017,Romania
793,University of the Western Cape South Africa,"20,182",33.2,8%,60:40:00,18.6—27.5,17.9,14.3,40.1,32.7,58.4,2017,South Africa
794,University of Westminster United Kingdom,"16,568",20.1,45%,58:42:00,18.6—27.5,15.6,14,22.2,32.4,81,2017,United Kingdom
795,University of Windsor Canada,"15,453",18.7,16%,52:48:00,18.6—27.5,18,13.7,24.7,35.3,48.3,2017,Canada
796,Yamagata University Japan,"8,866",8.3,2%,34 : 66,18.6—27.5,22.3,10,22.8,50.4,19.4,2017,Japan
797,University of Yamanashi Japan,"4,842",6.9,4%,30 : 70,18.6—27.5,25.3,10.2,19.5,35.9,19.8,2017,Japan
798,Yeungnam University South Korea,"22,658",16.2,3%,49:51:00,18.6—27.5,33.1,11.4,35,38.9,28,2017,South Korea
799,Yokohama City University Japan,"4,851",5,2%,55:45:00,18.6—27.5,23.8,6.4,38,39.4,16.9,2017,Japan
800,Yuan Ze University Taiwan,"8,814",20.9,5%,42:58:00,18.6—27.5,17.1,14.1,25.3,45.7,20.9,2017,Taiwan
801,École Centrale de Lyon France,"1,872",17.7,23%,26 : 74,18.6—27.5,28.8,15,23.7,82.7,64.9,2017,France
802,Izmir Institute of Technology Turkey,"4,201",19,4%,45:55:00,18.6—27.5,17.7,9,25.2,42.5,29.2,2017,Turkey
803,Acharya Nagarjuna University India,"5,605",17.4,3%,27 : 73,8.3—18.5,36.2,7.8,1.7,39.9,17.1,2017,India
804,"Adam Mickiewicz University, Poznań Poland","39,291",15,2%,71:29:00,8.3—18.5,17.6,10.4,20.4,32.7,28.1,2017,Poland
805,"University of Agriculture, Faisalabad Pakistan","15,122",29,0%,36 : 64,8.3—18.5,14.8,12.2,20.6,32.2,26.2,2017,Pakistan
806,Ain Shams University Egypt,"133,048",12.5,2%,59:41:00,8.3—18.5,19.2,7.9,9.6,33.3,31.2,2017,Egypt
807,Alexandria University Egypt,"154,366",26.9,3%,47:53:00,8.3—18.5,16.2,8.7,20.6,34.8,42.2,2017,Egypt
808,Alexandru Ioan Cuza University Romania,"23,707",29.7,3%,59:41:00,8.3—18.5,20.1,11.7,11.2,32.2,48.7,2017,Romania
809,Amity University India,"25,391",15,3%,38 : 62,8.3—18.5,15,7.5,10,32.9,16.6,2017,India
810,Amrita Vishwa Vidyapeetham India,"18,938",11.9,9%,,8.3—18.5,18.7,6,10.8,44.4,37.1,2017,India
811,Anadolu University Turkey,"1,414,640",594.4,0%,44:56:00,8.3—18.5,10.9,8.9,15.3,39.3,15.1,2017,Turkey
812,"University of the Andes, Venezuela Venezuela","54,595",23.2,0%,60:40:00,8.3—18.5,13.1,6.9,13.2,32.1,41.5,2017,Venezuela
813,Andhra University India,"10,882",21,4%,55:45:00,8.3—18.5,33,8.1,1.6,35.5,15,2017,India
814,Ankara University Turkey,"59,554",16.4,4%,53:47:00,8.3—18.5,18,5.3,10.4,32.6,18.8,2017,Turkey
815,Universidad Autónoma de Nuevo León ( U A N L) Mexico,"104,912",28.9,0%,,8.3—18.5,11.6,6.7,8.1,32.1,28.2,2017,Mexico
816,Benemérita Universidad Autónoma de Puebla Mexico,"64,029",14.3,0%,52:48:00,8.3—18.5,14.6,8.2,9.7,32.1,22.2,2017,Mexico
817,Universidad Autónoma del Estado de Mexico ( U A E Mex) Mexico,"52,482",22.8,0%,56:44:00,8.3—18.5,15.6,8.6,5.4,32.4,23.1,2017,Mexico
818,Bahauddin Zakariya University Pakistan,"21,433",30.2,0%,47:53:00,8.3—18.5,13.2,10.1,24,0,25.8,2017,Pakistan
819,Bandung Institute of Technology ( I T B) Indonesia,"19,757",13.9,1%,41:59:00,8.3—18.5,19,11.1,1.9,84.4,28,2017,Indonesia
820,Belarusian State University Belarus,"28,822",10,6%,69:31:00,8.3—18.5,20.1,9,11,32.1,52.3,2017,Belarus
821,University of Belgrade Serbia,"99,335",25.4,4%,60:40:00,8.3—18.5,17.4,12.5,20.7,36.7,32.2,2017,Serbia
822,University of Bucharest Romania,"31,305",23.5,2%,70:30:00,8.3—18.5,22.3,7.4,9.4,32.2,25.5,2017,Romania
823,Cairo University Egypt,"256,470",46.3,2%,48:52:00,8.3—18.5,18.2,11.8,15.8,33.4,30.6,2017,Egypt
824,Central South University China,"55,100",17,1%,40 : 60,8.3—18.5,23.7,11.3,18.5,48.7,14.6,2017,China
825,University of Cergy- Pontoise France,"17,165",9.3,14%,57:43:00,8.3—18.5,18.9,7.5,16.8,34.8,55.8,2017,France
826,Chiba Institute of Technology Japan,"9,644",34,1%,0.479166667,8.3—18.5,13.5,9.6,8.9,34.5,15,2017,Japan
827,China University of Mining and Technology China,"43,024",19,1%,26 : 74,8.3—18.5,19.2,14.4,11.3,65.4,13.4,2017,China
828,Chongqing University China,"46,461",16.5,3%,,8.3—18.5,18,17.5,14.4,65.4,18.4,2017,China
829,Chungnam National University South Korea,"22,433",21.9,3%,34 : 66,8.3—18.5,23.6,9.2,13,48.5,20.5,2017,South Korea
830,Chuo University Japan,"26,908",38.8,3%,34 : 66,8.3—18.5,23.3,8.5,18.6,34.4,20,2017,Japan
831,Cochin University of Science and Technology India,"7,615",32.1,0%,35 : 65,8.3—18.5,25.9,12.8,4.4,32.1,14.8,2017,India
832,University of Colombo Sri Lanka,"16,296",22.4,1%,40 : 60,8.3—18.5,12.2,6.8,11,32.1,37,2017,Lanka
833,University of Costa Rica Costa Rica,"30,067",10.1,%,52:48:00,8.3—18.5,19.3,7.7,16.6,2.5,42.4,2017,Rica
834,Czech University of Life Sciences Prague ( C U L S) Czech Republic,"18,149",22,16%,55:45:00,8.3—18.5,15.8,11.4,9.1,48.5,65.7,2017,Czech Republic
835,University of Debrecen Hungary,"28,812",19.7,13%,57:43:00,8.3—18.5,17.5,4.3,23.4,37.1,48.7,2017,Hungary
836,Doshisha University Japan,"28,899",23,3%,38 : 62,8.3—18.5,14.7,6.2,7.2,33.5,22.1,2017,Japan
837,University of Electronic Science and Technology of China China,"34,483",16.1,1%,1.011805556,8.3—18.5,16,6.6,15,32.1,17.2,2017,China
838,Embry- Riddle Aeronautical University United States,"15,259",10.2,10%,0.725,8.3—18.5,18,6.6,12.2,33.2,25.6,2017,United States
839,Erciyes University Turkey,"31,185",24.2,3%,46:54:00,8.3—18.5,15.4,10.1,26.6,37.1,19.8,2017,Turkey
840,Universidade Federal da Bahia Brazil,"35,173",14.2,1%,47:53:00,8.3—18.5,18.5,5.2,14.4,1.1,22.2,2017,Brazil
841,Universidade Federal do Ceará ( U F C) Brazil,"34,836",17.8,1%,48:52:00,8.3—18.5,22.9,4.7,16.6,1.5,19.8,2017,Brazil
